	0	1
1427	Inclusion Criteria:  Male or female, 18 years or older Severe, Chronic AD, (according to American Academy of Dermatology Consensus Criteria [Eichenfield 2014]) for whom treatment with potent TCS is indicated EASI score ≥20 at the screening and baseline visits IGA score ≥3 (on the 0 to 4 IGA scale) at the screening and baseline visits ≥10% body surface area (BSA) of AD involvement at the screening and baseline visits Documented recent history (within 6 months before the screening visit) of inadequate response to treatment with TCS Have applied a stable dose of topical emollient (moisturizer) twice daily for at least the 7 consecutive days immediately before the baseline visit  Documented history by a physician of either:  No prior CSA exposure and not currently a candidate for CSA treatment due to:  medical contraindications (eg, uncontrolled hypertension on medication), or use of prohibited concomitant medications (eg, statins, digoxin, macrolide, antibiotics, barbiturates, anti-seizure, nonsteroidal anti-inflammatory drugs, diuretics, angiotensin-converting-enzyme inhibitors, St John's Wort, etc), or increased susceptibility to CSA-induced renal damage (elevated creatinine) and liver damage (elevated function tests), or increased risk of serious infections, or hypersensitivity to CSA active substance or excipients OR  Previously exposed to CSA, and CSA treatment should not be continued or restarted due to:  intolerance and/or unacceptable toxicity (eg, elevated creatinine, elevated liver function tests, uncontrolled hypertension, paraesthesia, headache, nausea, hypertrichosis, etc), or inadequate response to CSA (defined as flare of AD on CSA tapering after a maximum of 6 weeks of high dose [5 mg/kg/day] to maintenance dose [2 to 3 mg/kg/day] or a flare after a minimum of 3 months on maintenance dose). Flare is defined as increase in signs and/or symptoms leading to escalation of therapy, which can be an increase in dose, a switch to a higher-potency class of TCS, or the start of another systemic non-steroidal immunosuppressive drug or requirement for CSA at doses >5 mg/kg/day, or duration beyond those specified in the prescribing information (>1 year)  Exclusion Criteria:  Participation in a prior dupilumab clinical study Treatment with an investigational drug within 8 weeks or within 5 half-lives (if known), whichever is longer, before the screening visit Hypersensitivity and/or intolerance to corticosteroids or to any other ingredients contained in the TCS product used in the study Systemic CSA, systemic corticosteroids, or phototherapy within 4 weeks prior to screening, and azathioprine (AZA), methotrexate (MTX), mycophenolate mofetil (MMF), or Janus kinase (JAK) inhibitors within 8 weeks prior to screening Treatment with TCI within 1 week before the screening visit  Treatment with biologics as follows:  Any cell-depleting agents including but not limited to rituximab: within 6 months before the screening visit, or until lymphocyte count returns to normal, whichever is longer Other biologics: within 5 half-lives (if known) or 16 weeks prior to the screening visit, whichever is longer Regular use (more than 2 visits per week) of a tanning booth/parlor within 4 weeks of the screening visit Treatment with a live (attenuated) vaccine within 12 weeks before the screening Active chronic or acute infection requiring treatment with systemic antibiotics, antivirals, antiparasitics, antiprotozoals, or antifungals within 2 weeks before the screening or superficial skin infections within 1 week before the screening visit. NOTE: patients may be rescreened no sooner than 2 weeks after infection resolves Known or suspected history of immunosuppression, including history of invasive opportunistic infections (eg, tuberculosis [TB], histoplasmosis, Listeriosis, coccidioidomycosis, pneumocystosis, aspergillosis) despite infection resolution; or unusually frequent, recurrent, or prolonged infections, per investigator judgment  Presence of any 1 of the following TB criteria:  A positive tuberculin skin test at the screening visit A positive blood QuantiFERON®-TB or T-Spot test at the screening visit Chest x-ray (posterior-anterior and lateral views) at screening or within 3 months before the screening visit (radiology report must be available) with results consistent with prior TB infection (including but not limited to apical scarring, apical fibrosis, or multiple calcified granuloma). This does not include non-caseating granulomata.  NOTE: Any of these 3 TB tests will be performed on a country-by-country basis according to local guidelines only if required by regulatory authorities or ethics boards.  History of human immunodeficiency virus (HIV) infection or positive HIV serology at screening Positive hepatitis B surface antigen (HBsAg), hepatitis B core antibody (HBc Ab), or hepatitis C antibody (HCV Ab) at the screening visit	1
351	Primary Objective:  To assess the safety and the maximum tolerated dose(MTD) of iniparib as a single agent and in combination with chemotherapeutic regimens in patients with advanced solid tumors that are refractory to standard therapy.  Secondary Objectives:  To assess the antitumor effect of iniparib (per Response Evaluation Criteria in Solid Tumors [RECIST]) Version 1.1 in patients with measurable disease. To characterize iniparib (and its metabolites, if possible) pharmacokinetics.  Based on data generated by Sanofi, it is concluded that iniparib does not possess characteristics typical of the PARP inhibitor class. The exact mechanism has not yet been fully elucidated, however based on experiments on tumor cells performed in the laboratory, iniparib is a novel investigational anti-cancer agent that induces gamma-H2AX (a marker of DNA damage) in tumor cell lines, induces cell cycle arrest in the G2/M phase in tumor cell lines, and potentiates the cell cycle effects of DNA damaging modalities in tumor cell lines. Investigations into potential targets of iniparib and its metabolites are ongoing.	0
41	Primary Objective:  Part A - Monotherapy:  - To determine the maximum tolerated dose (MTD) of SAR260301 administered as monotherapy and either on a once or twice daily schedule, to patients with advanced solid tumors or lymphomas.  Part B - Combination:  - To determine the maximum tolerated dose (MTD) of SAR260301 administered in combination with the recommended standard dosage of vemurafenib to patients with unresectable / metastatic v-raf murine sarcoma viral oncogene homolog B1 (BRAF)-mutated melanoma.  Secondary Objectives:  To characterize the overall safety and tolerability profile of SAR260301 administered as monotherapy (Part A) and in combination with vemurafenib (Part B). To characterize the pharmacokinetic (PK) profile of SAR260301 administered as monotherapy (Part A) and in combination with vemurafenib (Part B) as well as vemurafenib PK in combination with SAR260301 (Part B) To evaluate food effect on SAR260301 PK (Part A) To assess preliminary antitumor activity according to Response Evaluation Criteria in Solid Tumors (RECIST 1.1 criteria). To assess preliminary antitumor activity using volumetric computed tomography (CT) or magnetic resonance imaging(MRI) To evaluate the pharmacodynamic (PD) effects of SAR260301 on blood and tumor. To evaluate PK/PD relationships. To identify the recommended phase 2 dose of SAR260301 in combination with vemurafenib (RP2D) (Part B only) To assess potential induction effect of SAR260301 on cytochrome P450 (CYP) isoenzyme 3A (CYP3A) (Part A)	0
1014	Inclusion criteria :  Solid tumor that is metastatic or unresectable, or relapsed or refractory lymphoma (including chronic lymphocytic leukemia/small lymphocytic lymphoma), for which standard therapies are no longer effective or there are no therapies known to prolong survival or patient cannot tolerate or has contra-indication for a standard therapy and there is no alternative therapies. Male or female patient > or = 18 years old. Weight > or = 40 kg. Eastern Cooperative Oncology Group performance status < or = 1. Adequate white blood cells, platelets, and haemoglobin. Adequate liver and kidney functions. Fasting plasma glucose < 8.9 mmol/L. Sexually active patients using adequate contraception. Women of child-bearing potential with negative pregnancy test.  Exclusion criteria:  Lymphoma involving the gastrointestinal tract. Prior treatment with cytotoxic chemotherapy (including investigational agents) or biologic agents (antibodies, immune modulators, and cytokines) within 4 weeks, or nitrosoureas or mitomycin C within 6 weeks, before the first dose of study drug. Prior treatment with a small-molecule kinase inhibitor (including investigational agents) within 2 weeks, or 5 half lives of the drug or active metabolites, whichever is longer, before the first dose of study drug. Any other investigational therapy within 4 weeks before the first dose of study drug. Intolerance to prior treatment with a PI3K inhibitor. Prior anticancer hormonal therapy within 2 weeks before the first dose of study drug. Prior radiation therapy within 2 weeks before the first dose of study drug. Uncontrolled brain metastases or primary brain tumor. Hereditary or acquired immunodeficiency syndrome or human immunodeficiency virus (HIV) infection. Positive serologies for Hepatitis B surface antigen (HBsAg) or anti-Hepatitis C virus (anti-HCV) antibodies. Patient is pregnant or breastfeeding. History of gastrointestinal surgery, or presence of gastrointestinal abnormality or disease, that may affect the pharmacokinetics of study drug.  The above information is not intended to contain all considerations relevant to a patient's potential participation in a clinical trial.	1
750	The aim of CAPACITY is to collect data regarding the cardiovascular history, diagnostic information and occurrence of cardiovascular complications in COVID-19 patients. By collecting this information in a standardized manner, CAPACITY can aid in providing more insight in (1) the incidence of cardiovascular complications in patients with COVID-19, and (2) the vulnerability and clinical course of COVID-19 in patients with an underlying cardiovascular disease.  The CAPACITY extension to the ISARIC-WHO CRF consists of additional data collection instruments for:  cardiac history and cardiovascular risk factors prior use of cardiac medication or NSAIDs electrocardiography (ECG) echocardiography cardiac MRI invasive cardiac procedures cardiac complications cardiac biomarkers cardiac outcome during admission	0
779		0
99	Researchers are trying to assess the treatment potential and safety of anti-SARS-CoV-2 convalescent plasma in patients with acute respiratory symptoms with confirmed COVID-19.	0
286	Primary Objective:  To demonstrate the benefit of isatuximab in combination with pomalidomide and low-dose dexamethasone in the prolongation of Progression Free Survival (PFS) as compared to pomalidomide and low-dose dexamethasone in participants with refractory or relapsed and refractory multiple myeloma (MM).  Secondary Objectives:  To evaluate the Overall Response Rate (ORR) as per International Myeloma Working Group (IMWG) criteria in each arm. To compare the Overall Survival (OS) between the two arms. To evaluate the Time To Progression (TTP) in each arm. To evaluate the PFS in high risk cytogenetic population in each arm. To evaluate the Duration of Response (DOR) in each arm. To evaluate the safety in both treatment arms. To determine the Pharmacokinetic profile of isatuximab in combination with pomalidomide. To evaluate the immunogenicity of isatuximab. To assess disease-specific and generic health-related quality of life (HRQL), disease and treatment-related symptoms, health state utility, and health status.	0
830	Primary objective will be evaluated at 12 weeks. Patients who show evidence of efficacy will be treated and followed-up until progression of the disease.	0
480	This pilot clinical trial studies fluorine (F)-18 16 alpha-fluoroestradiol (18F-FES) positron emission tomography (PET)/computed tomography (CT) in imaging patients with desmoid tumors. 18F-FES binds to estrogen receptors, which are present on desmoid tumors, and gives off radiation that may be detected by PET and CT scans. The PET/CT scan forms an image that may show where tumor cells with estrogen receptors can be found in the body.	0
1486	Inclusion criteria :  Patients with Type 2 Diabetes (T2D) managed with diet and exercise only or with a stable antidiabetes regimen (in monotherapy or combination therapy that can include oral antidiabetes medications, insulin, or glucagon-like peptide-1 agonists) for more than 12 weeks. Patient has given written informed consent to participate in the study in accordance with local regulations.  Exclusion criteria:  Age <55 years. Women who have been postmenopausal (or undergone bilateral oophorectomy) for less than 5 years. Type 1 diabetes mellitus. Body mass index (BMI) ≤20 or >45 kg/m2 or body weight that exceeds the weight limits of the Dual-energy X-ray absorptiometry (DXA) scanner. Hemoglobin A1C (HbA1c) <7.0% or HbA1c >11.0%. Use of a selective sodium-glucose cotransporter type 2 (SGLT2) inhibitor or thiazolidinedione within 24 months. Bone mineral density (BMD) T- score <-2.0 at any site (ie, lumbar spine, total hip, or femoral neck). History of fracture within 12 months (except for fractures of the hand/fingers, foot/toes, facial bones, and skull). Treatment with medications known to affect bone mass or modify the risk of fractures within 36 months (eg, bisphosphonates, selective estrogen receptor modulators, calcitonin, teriparatide, denosumab, strontium ranelate, growth hormone, aromatase inhibitors, androgen deprivation therapy, carbamazepine, phenytoin, and phenobarbital). Use of hormonal replacement that includes systemic or transdermal estrogen or testosterone is excluded unless is stable for at least 24 months prior to Screening. Lower extremity complications (such as skin ulcers, infection, osteomyelitis and gangrene) identified during the Screening period, and still requiring treatment at Randomization. Uncontrolled high blood pressure, severe anemia, severe cardiovascular problems, such as heart failure, active cancer, or other conditions that the Investigator believes with result in a short life expectancy. Renal disease as defined by an estimated glomerular filtration rate (eGFR) <30 mL/min/1.73m² at the Screening Visit by the 4 variable Modification of Diet in Renal Disease equation.  The above information is not intended to contain all considerations relevant to a patient's potential participation in a clinical trial.	1
1196	Inclusion Criteria:  Histologically confirmed intracranial Grade 3 or 4 anaplastic glioma or glioblastoma (astrocytic tumor, anaplastic oligodendroglioma, or oligoastrocytoma) Received prior standard radiation for a Grade 3 or 4 astrocytic tumor with a minimum cumulative dose of 40 Gy administered Completed at least one full cycle of temozolomide of 200 mg/m2/day administered on Days 1-5 of a 28-day cycle, without unacceptable toxicity or progression Karnofsky performance status of 60 or more Adequate organ and bone marrow function as defined by hematological and serum chemistry limits At least 18 years old. Both men and women must practice adequate contraception Informed consent  Exclusion Criteria:  Progressed while on temozolomide Evidence of acute intracranial or intratumoral hemorrhage > Grade 1 Restriction of some therapies/medications within specific timeframes prior to enrollment and during the study including cytotoxic chemotherapy other than temozolomide, biologic agents, nitrosoureas or mitomycin C, small-molecule kinase inhibitors, non-cytotoxic hormonal agents, prior therapy with a PI3K inhibitors, radiation therapy, enzyme-inducing anti-convulsants, valproic acid Not recovered from the toxic effects of prior therapy Pregnant or breast feeding History of diabetes mellitus Uncontrolled intercurrent illness Congestive heart failure, unstable angina, or a myocardial infarction within 3 months of entering the study. HIV positive Diagnosis of another malignancy may exclude subject from study	1
772	Total study duration up to 74 weeks: screening up to 4 weeks, AID assessment phase of 12 weeks, extension phase of 52 weeks and post-treatment follow-up of 6 weeks.  For participants not entering the extension phase, total study duration up to 22 weeks (screening, AID assessment phase and follow-up).	0
1435	Inclusion Criteria:  A subject must be 12 years of age or older, of either sex, and of any race. A subject must have at least a 2-year history of SAR which exacerbates during the study season. A subject must have a positive skin prick test response to an appropriate seasonal allergen at Visit 1. A subject must be clinically symptomatic at the Screening and Baseline Visits.  Exclusion Criteria:  A subject with a history of severe local reaction(s) or anaphylaxis to skin testing. A subject who has had an upper respiratory tract or sinus infection that required antibiotic therapy without at least a 14-day washout prior to the Screening Visit, or who has had a viral upper respiratory infection within 7 days prior to the Screening Visit. A subject who has used any drug in an investigational protocol in the 30 days prior to the Screening Visit. A subject who is participating in any other clinical study. A subject who is part of the staff personnel directly involved with this study. A subject who is a family member (parent, spouse, or sibling) of the investigational study staff. A female subject who is breast-feeding, pregnant, or intends to become pregnant. A subject previously randomized into this study. A subject who has a family member (parent, spouse, or sibling) currently enrolled in this study.	1
208	"This is an open-label, multicenter, ascending, multiple dose study of nesvacumab (REGN910/ SAR307746) in combination with aflibercept (""ziv-aflibercept"" in the U.S.)"	0
83	Primary Objective:  To determine whether SAR439859 given at 2 different doses improves the antiproliferative activity when compared to letrozole  Secondary Objectives:  To assess the proportion of participants with a relative decrease from baseline in percentage of positive tumor cells tested by immunohistochemistry ≥50% (Ki67≥50%) in the three treatment arms To assess estrogen receptor (ER) degradation in biopsies in participants in the three treatment arms To assess safety in the three treatment arms	0
892		0
250	CAPACITY (www.capacity-covid.eu) is a registry of patients with COVID-19 across Europe and has been established to answer questions on the role of cardiovascular disease in this pandemic. It is an extension of the Case Record Form (CRF) that was released by the ISARIC (International Severe Acute Respiratory and Emerging Infection Consortium) and WHO (World Health Organisation) in response to the emerging outbreak of COVID-19.	0
976	This multicenter study is an open-labelled, randomized clinical trial for 1:1:1 ratio of lopinavir/ritonavir, hydroxychloroquine, or control arm.	0
