"","ID","label","ct_eligibility"
"11",11,"BriefSummary","Primary Objective:

Dose escalation: To determine the maximum tolerated dose (MTD) of SAR440234 administered as a single agent in patients with R/R AML (relapsed or refractory acute myeloid leukemia), HR-MDS (high risk myelodysplastic syndrome), or B-ALL (B-cell acute lymphoblastic leukemia), and determine the recommended phase 2 dose (RP2D) for the subsequent Expansion part.
Expansion part: To assess the activity of single agent SAR440234 at the RP2D in patients with R/R AML or HR-MDS.

Secondary Objective:

To characterize the safety profile including cumulative adverse drug reactions.
To evaluate the potential immunogenicity of SAR440234.
To assess any preliminary evidence of hematologic response in the Dose Escalation Part."
"12",12,"BriefSummary","Primary Objective:

To determine and compare the pharmacokinetic (PK) profiles of 2 different SAR231893 (REGN668) drug products after administration of a single subcutaneous (SC) dose

Secondary Objective:

To determine and compare the safety and tolerability of the 2 SAR231893 (REGN668) drug products after administration of a single SC dose"
"13",13,"BriefSummary","Background

Various kinds of interactive online communication systems have been introduced for long-term diabetes management, and their importance in managing patients is increasing. The investigators investigated the amount of physician time needed to maintain such a system, and the investigators developed software to maximise the cost effectiveness.

Methods

The investigators conducted a prospective, randomised, controlled trial to investigate the efficacy and safety of a semi-automatic response system (SARS) for online glucose monitoring over a 24-week period of patients with type 2 diabetes. In the SARS group, the ""SARS"" software filtered the recorded self-monitoring of blood glucose data automatically to reduce the physicians' time, and the physicians managed patients regularly but only manually in the control (manual) group. The investigators measured the time spent by the physicians for online management and compared the HbA1c levels at enrolment and follow-up."
"14",14,"BriefSummary","Primary Objective:

Study the effect of mild or moderate hepatic impairment on the pharmacokinetics of alirocumab SAR236553 (REGN727).

Secondary Objectives:

Assess the safety and tolerability of alirocumab SAR236553 (REGN727) in patients with mild and moderate hepatic impairment and in matched subjects with normal hepatic function.
Assess the pharmacodynamic profile of alirocumab SAR236553 (REGN727) in patients with hepatic impairment and in matched subjects with normal hepatic function."
"15",15,"BriefSummary","Primary Objective:

- To assess the safety, tolerability and plasma pharmacokinetics (PK) of SAR245408 given once daily as a tablet formulation of polymorph E in subjects with solid tumors or lymphoma."
"16",16,"BriefSummary","Primary Objectives:

To determine the maximum tolerated dose of SAR650984 (isatuximab) with lenalidomide and dexamethasone (LD) in patients with relapsed or refractory multiple myeloma.
Expansion Phase Only: To further evaluate preliminary evidence of antitumor activity (objective response rate [ORR]) of SAR650984 (isatuximab) in combination with LD using International Myeloma Working Group (IMWG) criteria.

Secondary Objectives:

To evaluate the safety, including immunogenicity, of SAR650984 (isatuximab) in combination with LD in relapsed or refractory multiple myeloma. The severity, frequency and incidence of all toxicities will be assessed.
To evaluate the pharmacokinetics (PK) of SAR650984 (isatuximab) when administered in combination with LD and the PK of lenalidomide in combination with SAR650984 and dexamethasone.
To assess the relationship between clinical (adverse event [AE] and/or tumor response) effects and pharmacologic parameters (PK/pharmacodynamics), and/or biologic (correlative laboratory) results.
For the dose expansion phase, estimate the activity (ORR) using IMWG defined response criteria of SAR650984 (isatuximab) plus LD.
To describe progression-free survival (PFS) in patients treated with this combination."
"17",17,"BriefSummary","On January 2020, the discovery of a new coronavirus (SARS-CoV-2) was officially announced by the Chinese health authorities and the World Health Organization (WHO). Its complete genome was sequenced by the laboratory of respiratory infection viruses at the Institut Pasteur on 29 January 2020 in France. This will allow the identification of antigenic structures involved in the immune response and the development of serological diagnostic tests.

Many questions are being asked about this new virus and the infection it causes, including questions about the percentage of asymptomatic and pauci-symptomatic forms. Serological studies can provide answers to these questions. There is no serological test for SARS-COV-2 yet, but the laboratory of respiratory infection viruses at the Institut Pasteur is working on its development.

We propose to carry out a collection of samples taken from subjects who travelled to China before the epidemic outbreak or suspected of being infected with SARS-CoV-2.

As soon as it is available, serology will be performed on the collected samples."
"18",18,"BriefSummary","Primary Objective:

- To confirm safety and tolerability of global recommended phase three dose (RPTD) of SAR245408 tablets when administered on continuous once daily dosing (CDD) in patients with solid tumors.

Secondary Objectives:

To evaluate the plasma pharmacokinetics (PK) of daily oral administration of SAR245408 in CDD treatment schedule in patients with solid tumors.
To gather preliminary efficacy data after repeated administration of SAR245408 in patients with solid tumors."
"19",19,"BriefSummary","The epidemic due to the Sars-CoV2 virus is spreading in France, without knowning precisely since when the virus has actually circulated on the territory. Data from China but also systematic samples taken from the passengers of the Diamond Princess boat also report almost 50% of asymptomatic forms of Covid-19. The medical and paramedical staff of the front-line services for the care of patients infected with Covid-19 are in fact potentially exposed to the risk of occupational contamination due to the large number of patients treated, including in the pre-epidemic phase. Therefore, and despite the application of standard protective measures, it is possible that a certain number of these personnel already have or will contract Covid-19 disease, including in its asymptomatic form."
"20",20,"BriefSummary","Primary Objective:

To demonstrate similarity in pharmacokinetics (PK) of SAR341402 and NovoLog after 4x4-week periods of alternating administration of SAR341402 and NovoLog compared to 16-week continuous use of NovoLog in participants with Type 1 diabetes mellitus also using insulin glargine.

Secondary Objectives:

To compare the effects of alternating administration of SAR341402 and NovoLog with continuous use of NovoLog on immunogenicity.
To evaluate the safety of alternating administration of SAR341402 and NovoLog versus continuous use of NovoLog.
To compare other PK parameters between the two treatment arms (alternating administration of SAR341402 and NovoLog and continuous use of NovoLog)."
"21",21,"BriefSummary","The purpose of this study is to determine the safety, tolerability, and pharmacokinetics of SAR 1118 within the anterior and posterior chamber of the eye and plasma in subjects undergoing elective vitrectomy when treated with escalating concentrations of the study drug for approximately 1 week."
"22",22,"BriefSummary","Primary Objective:

- To determine the pharmacokinetics (PK) of a single intravenous (IV) dose of SAR279356 administered to intensive care unit (ICU) patients on mechanical ventilation

Secondary Objectives:

To determine the safety and tolerability of SAR279356
To evaluate the pharmacodynamics (PD) and immunogenicity of SAR279356
Exploratory efficacy of SAR279356 on prevention of bacterial infections"
"23",23,"BriefSummary","Primary Objective:

To determine the long-term safety and tolerability of SAR442168 in RMS participants

Secondary Objective:

To evaluate efficacy of SAR442168 on disease activity, assessed by clinical and imaging methods"
"24",24,"BriefSummary","Primary Objective:

To assess the long term safety and tolerability of SAR339658

Secondary Objective:

To assess the long term efficacy of SAR339658"
"25",25,"BriefSummary","Primary Objectives:

To determine the maximum tolerated dose (MTD) of SAR125844. To confirm safety profile of SAR125844 when administered as single agent at the MTD.

To evaluate the preliminary anti-tumoral effect of SAR125844 in patients with MET-gene amplified solid tumors (including sub-group of MET-amplified non-small cell lung cancer [NSCLC] patients) and in patients with Phospho-MET positive tumors without MET-gene amplification.

Secondary Objectives:

To characterize the global safety profile including cumulative toxicities. To evaluate the pharmacokinetic profile of SAR125844 in the proposed dosing schedule(s).

To assess preliminary antitumor activity in patients with measurable/evaluable disease, according to RECIST 1.1 criteria.

To explore the pharmacodynamic effects (PD) of SAR125844. To explore MET gene amplification status in Circulating Tumoral Cells (CTCs) and on tumor biopsies collected during the study, in the escalation part only.

To evaluate other pharmacodynamic biomarkers and help selection of patients who could benefit from SAR125844.

To explore MET-gene amplification status in circulating DNA."
"26",26,"BriefSummary","Primary Objective:

In the dose escalation: to determine the maximum tolerated dose (MTD) of SAR125844.

In the expansion cohort: to evaluate the preliminary anti-tumoral effect of SAR125844 in patients with measurable and MET gene amplification (including gastric cancer patients).

Secondary Objectives:

To characterize and confirm the global safety profile of SAR125844 including cumulative toxicities.

To assess preliminary antitumor activity of SAR125844. To explore the pharmacodynamic effects (PDy) of SAR125844. To evaluate the pharmacokinetic profile of SAR125844. To explore the relationship of MET gene amplification status with antitumor effects.

To evaluate other pharmacodynamic biomarkers."
"27",27,"BriefSummary","Primary Objective:

To study the effect of mild, moderate and severe renal impairment on the pharmacokinetics of SAR302503.

Secondary Objective:

To assess the tolerability of SAR302503 given as a single 300 mg dose in subjects with mild, moderate and severe renal impairment and in matched subjects with normal renal function."
"28",28,"BriefSummary","Primary Objective:

To study the effect of mild and moderate hepatic impairment on the pharmacokinetics of SAR302503.

Secondary Objective:

To assess the tolerability of SAR302503 given as a single dose up to 300 mg in subjects with mild and moderate and hepatic impairment and in matched subjects with normal hepatic function."
"29",29,"BriefSummary","Primary Objective:

To assess the safety, pharmacokinetics (PK), pharmacodynamics (PD), and exploratory efficacy of GZ/SAR402671 in enzyme replacement therapy treatment-naïve adult male participants diagnosed with Fabry disease."
"30",30,"BriefSummary","Primary Objective:

To assess in overweight to obese subjects the change in sleep energy expenditure after repeated subcutaneous (SC) doses of SAR425899.

Secondary Objectives:

To assess the change in resting, basal and total daily energy expenditure.
To assess the change in respiratory quotient, fat, protein and carbohydrate oxidation.
To assess the change in body composition and core temperature.
To assess the pharmacodynamic effects on fasting plasma glucose, biomarkers of lipid metabolism and glycated hemoglobin (HbA1c).
To assess the pharmacokinetic parameters for SAR425899 after repeated SC doses.
To assess the safety and tolerability."
"31",31,"BriefSummary","This study is expected to provide, for the first time, data on Cov2-SARS circulation in asymptomatic children and children with moderate respiratory symptoms in order to construct the severity pyramid of this novel pathogen. This information will be essential in the coming weeks to understand the dynamics of the transmission of this pathogen at the population level and to highlight the relevance of public health interventions, particularly with regard to the systematic closure of schools and childcare facilities."
"32",32,"BriefSummary","Primary Objective:

To select in the first part the SAR566658 dose based on Objective Response Rate (ORR) and safety of 2 dose levels and to demonstrate in the second part the efficacy of the selected dose based on ORR.

Secondary Objectives:

To assess:
Disease Control Rate (DCR), Duration Of Response (DOR), Progression-Free Survival (PFS), and Time To Progression (TTP)
The impact of ocular primary prophylaxis on the incidence of keratopathies;
The potential immunogenicity of SAR566658
To evaluate the global safety profile"
"33",33,"BriefSummary","Primary Objectives:

To assess in overweight to obese T2DM patients:

The glucagon receptor occupancy of SAR425899 at two dose levels in the human liver with positron-emission tomography (PET) imaging using [68Ga]Ga-DO3A-VS-Cys40-Tuna-2 as a tracer compound.
The GLP-1 receptor occupancy of SAR425899 at two dose levels in the human pancreas with PET imaging using [68Ga]Ga-DO3A-VS-Cys40-Exendin-4 as a tracer compound.
Pharmacodynamic effects on fasting plasma glucose and biomarkers of lipid metabolism.
Pharmacokinetic parameters for SAR425899 after repeated subcutaneous (SC) doses in plasma.
Safety and tolerability of SAR425899."
"34",34,"BriefSummary","Primary Objective:

- To determine the maximum tolerated dose (MTD) and recommended Phase 2 dose (RP2D) for SAR245409 when administered in combination with rituximab or bendamustine plus rituximab

Secondary Objectives:

To determine the safety and tolerability of SAR245409 in combination with rituximab or bendamustine plus rituximab in subjects with indolent Hon-Hodgkin Lymphoma (iNHL) Mantle Cell Lymphoma (MCL) or Chronic Lymphocytic Leukemia (CLL)
To determine the pharmacokinetics (PK) of SAR245409, bendamustine and rituximab when used in combination in subjects with iNHL, MCL or CLL
To determine the pharmacodynamic (PD) effects of SAR245409 in combination with rituximab or bendamustine plus rituximab in subjects with iNHL, MCL or CLL
To determine the antitumor activity of SAR245409 in combination with rituximab or bendamustine plus rituximab in subjects with iNHL, MCL or CLL"
"35",35,"BriefSummary","Primary Objectives:

To determine the recommended Phase 2 dose of SAR405838 / pimasertib combination therapy in patients with solid tumors.

To assess the anti-tumor activities of SAR405838 / pimasertib in patients with solid tumors.

Secondary Objectives:

To characterize the pharmacokinetic profile of SAR405838 and pimasertib.

To evaluate the pharmacodynamic effect of the SAR405838 and pimasertib.

To characterize genetic status in tumor tissue and circulating tumor DNA."
"36",36,"BriefSummary","The goal of this study is to evaluate if CT (Computerized Tomography) can effectively and accurately predict disease progression in patients with SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2). You may be eligible if you have been diagnosed with SARS-CoV-2, are an inpatient at Beaumont Hospital-Royal Oak and meet eligibility criteria. After consent and determination of eligibility, enrolled patients will have a CT scanning session. After the CT scan, patients are followed for 30 days by reviewing their medical records and by phone after discharge from hospital."
"37",37,"BriefSummary","Primary Objective:

Assess the safety and tolerability of single intra-articular doses of SAR113945 in patients with knee osteoarthritis.

Secondary Objective:

Assess systemic exposure of SAR113945 following intra-articular delivery."
"38",38,"BriefSummary","Primary Objective:

- To evaluate safety and tolerability of 8-week oral administration of SAR100842 in patients with diffuse cutaneous systemic sclerosis.

Secondary Objectives:

To evaluate the pharmacodynamic effect of SAR100842 in patients with systemic sclerosis as measured by disease related biomarkers and Lysophosphatidic acid (LPA) receptor signaling markers in blood and skin;
To explore the effect of SAR100842 on skin thickness in patients with systemic sclerosis as measured by the modified Rodnan Skin Score (mRSS);
To explore the effect of SAR100842 on quality of life as measured by the Scleroderma Modified Health Assessment Questionnaire (SHAQ);
To document long term safety of SAR100842 during the extension part."
"39",39,"BriefSummary","Primary Objectives:

To determine the maximum tolerated dose (MTD) of SAR428926 when administered as a single agent in patients with advanced solid tumors.

To evaluate the anti-tumor response of SAR428926 when administered as a single agent in patients with advanced triple negative breast cancer (TNBC) positive for the protein targeted by SAR428926 To assess the preliminary anti-tumor response of SAR428926 when administered as a single agent in patients with advanced solid tumors positive for the protein targeted by SAR428926

Secondary Objectives:

To determine the overall safety profile of SAR428926 as a single agent. To characterize the pharmacokinetics (PK) profile of SAR428926 and its metabolites.

To identify the recommended Phase 2 dose (RP2D) of SAR428926 as a single agent. To evaluate the immunogenicity of SAR428926. To assess the tumor response and duration of tumor response in all treated patients.

To evaluate the benefit of primary prophylaxis on the occurrence of corneal (keratopathy/keratitis) toxicity (Expansion cohorts)."
"40",40,"BriefSummary","Primary Objective:

To assess the long-term safety of GZ/SAR402671 in adult male participants with Fabry disease who previously completed study ACT13739 (NCT02489344).

Secondary Objective:

To assess the long-term effect of GZ/SAR402671 on pharmacodynamic and exploratory efficacy endpoints in adult male participants with Fabry disease who previously completed study ACT13739."
"41",41,"BriefSummary","Primary objectives:

To determine the maximum tolerated dose (MTD) of SAR103168 and to characterize the dose limiting toxicities (DLTs) in the proposed dose regimen
To evaluate the pharmacokinetic (PK) profile of SAR103168

Secondary objectives:

To characterize the global safety profile of SAR103168
To evaluate preliminary anti-leukemia activity
To investigate the potential induction effect on CYP3A4 and persistence of this effect by using oral midazolam as a probe substrate in patients enrolled into the expanded cohort at the MTD
To determine the metabolic pathways of SAR103168 and identify the chemical structures of metabolites
To determine the potential impact of SAR103168 on the QTc interval in patients enrolled at the MTD"
"42",42,"BriefSummary","Primary Objective:

Part A - Monotherapy:

- To determine the maximum tolerated dose (MTD) of SAR260301 administered as monotherapy and either on a once or twice daily schedule, to patients with advanced solid tumors or lymphomas.

Part B - Combination:

- To determine the maximum tolerated dose (MTD) of SAR260301 administered in combination with the recommended standard dosage of vemurafenib to patients with unresectable / metastatic v-raf murine sarcoma viral oncogene homolog B1 (BRAF)-mutated melanoma.

Secondary Objectives:

To characterize the overall safety and tolerability profile of SAR260301 administered as monotherapy (Part A) and in combination with vemurafenib (Part B).
To characterize the pharmacokinetic (PK) profile of SAR260301 administered as monotherapy (Part A) and in combination with vemurafenib (Part B) as well as vemurafenib PK in combination with SAR260301 (Part B)
To evaluate food effect on SAR260301 PK (Part A)
To assess preliminary antitumor activity according to Response Evaluation Criteria in Solid Tumors (RECIST 1.1 criteria).
To assess preliminary antitumor activity using volumetric computed tomography (CT) or magnetic resonance imaging(MRI)
To evaluate the pharmacodynamic (PD) effects of SAR260301 on blood and tumor.
To evaluate PK/PD relationships.
To identify the recommended phase 2 dose of SAR260301 in combination with vemurafenib (RP2D) (Part B only)
To assess potential induction effect of SAR260301 on cytochrome P450 (CYP) isoenzyme 3A (CYP3A) (Part A)"
"43",43,"BriefSummary","Primary Objective:

To assess the safety and tolerability of ascending doses of SAR422459 in patients with Stargardt's Macular Degeneration.

Secondary Objective:

To evaluate for possible biological activity of SAR422459."
"44",44,"BriefSummary","Primary objective was to demonstrate the activity of REGN475/SAR164877 in reducing the pain associated with vertebral fracture.

Secondary objectives were:

to assess the safety and tolerability of REGN475/SAR164877 in patients with vertebral fracture pain;
to characterize the pharmacokinetic and immunogenicity profiles of REGN475/SAR164877 in this population."
"45",45,"BriefSummary","Primary objective was to demonstrate the activity of REGN475/SAR164877 in reducing the pain associated with chronic pancreatitis.

Secondary objectives were:

to assess the safety and tolerability of REGN475/SAR164877 in patients with chronic pancreatitis pain;
to characterize the pharmacokinetic, pharmacodynamic, and immunogenicity profiles of REGN475/SAR164877 in this population;
to measure the change in the total daily dose of rescue medications required."
"46",46,"BriefSummary","The study aims to examine whether the combination of Lopinavir/Ritonavir plus Ribavirin for treatment of severe acute respiratory syndrome (SARS) is superior to placebo."
"47",47,"BriefSummary","Primary Objective:

To assess the incidence rate of dose-limiting toxicity and to confirm the recommended dose as well as the maximum tolerated dose of SAR439859 administered as monotherapy to Japanese postmenopausal women with estrogen receptor positive and human epidermal growth factor receptor 2-negative advanced breast cancer.

Secondary Objective:

To characterize the overall safety profile of SAR439859 administered as monotherapy.
To characterize the pharmacokinetic profile of SAR439859 administered as monotherapy.
To evaluate the antitumor activity of SAR439859 administered as monotherapy and the clinical benefit rate (complete response, partial response and stable disease ≥ 24 weeks)."
"48",48,"BriefSummary","Primary Objective:

To evaluate the effects of SAR440340/REGN3500 with or without dupilumab, compared to placebo, on reducing the incidence of ""loss of asthma control"" (LOAC) events.

Secondary Objectives:

To evaluate the effects of SAR440340/REGN3500 and coadministration of SAR440340/REGN3500 and dupilumab, compared with placebo, on forced expiratory volume in 1 second (FEV1).

To evaluate the effects of coadministration of SAR440340/REGN3500 and dupilumab, compared with SAR440340 and compared with dupilumab, on FEV1.

To assess safety and tolerability of SAR440340/REGN3500 alone and in coadministration with dupilumab."
"49",49,"BriefSummary","The emergence of SARS-CoV-2 is currently engaging and consuming most of resources of efficient healthcare systems in Europe, and several hospitals are currently experiencing a shortage of ICU beds for critically-ill patients with SARS-CoV-2 pneumonia.

A risk stratification based on clinical, radiological and laboratory parameters seems necessary in order to better identify those patients who may need ICU admission and/or those who may benefit from a prompt antiviral therapy"
"50",50,"BriefSummary","Primary Objective:

- To determine a dose of SAR240550 to be further studied in combination with chemotherapy regimens

Secondary Objectives:

To determine the dose limiting toxicity (DLT) of SAR240550 and SAR240550 in combination with chemotherapy regimen (gemcitabine and carboplatin
To assess safety profiles: significant laboratory changes and adverse events (AEs)
To make a preliminary assessment of antitumor effect in study subjects per Response Evaluation Criteria in Solid Tumors (RECIST) with measurable disease
To characterize SAR240550 and metabolites, 4-iodo-3-amino benzamide (IABM) and 4-iodo-3-amino-benzoic acid (IABA), pharmacokinetics
To collect blood samples for glutathione S-transferase (GST) genotypes at baseline)

Based on data generated by BiPar/Sanofi, it is concluded that iniparib does not possess characteristics typical of the PARP inhibitor class. The exact mechanism has not yet been fully elucidated, however based on experiments on tumor cells performed in the laboratory, iniparib is a novel investigational anti-cancer agent that induces gamma-H2AX (a marker of DNA damage) in tumor cell lines, induces cell cycle arrest in the G2/M phase in tumor cell lines, and potentiates the cell cycle effects of DNA damaging modalities in tumor cell lines. Investigations into potential targets of iniparib and its metabolites are ongoing."
"51",51,"BriefSummary","Primary Objective:

- To evaluate the efficacy of once daily dose of SAR302503 in subjects previously treated with ruxolitinib and with a current diagnosis of intermediate-1 with symptoms, Intermediate-2 or high-risk primary myelofibrosis (PMF), post-polycythemia vera myelofibrosis (Post-PV MF), or post-essential thrombocythemia myelofibrosis (Post-ET MF) based on the reduction of spleen volume at the end of 6 treatment cycles;

Secondary Objectives:

To evaluate the effect of SAR302503 on Myelofibrosis (MF) associated symptoms as measured by the modified Myelofibrosis Symptom Assessment Form (MFSAF) diary
To evaluate the durability of splenic response
To evaluate the splenic response to SAR302503 by palpation at the end of Cycle 6
To evaluate the splenic response to SAR302503 at the end of Cycle 3
To evaluate the effect of SAR302503 on the Janus kinase 2 (JAK2) V617F allele burden
To evaluate the safety and tolerability of SAR302503 in this population
To evaluate plasma concentrations of SAR302503 for population PK analysis, if warranted"
"52",52,"BriefSummary","Primary Objective:

To assess in adult patients with Idiopathic Pulmonary Fibrosis (IPF) the safety and tolerability of ascending doses of SAR156597 administered subcutaneously (SC) once weekly over a 6-week period.

Secondary Objectives:

To assess in adult patients with IPF:

The pharmacodynamic effects of SAR156597, as measured on pulmonary function tests (PFTs), pulse oximetry and patient reported outcome and peripheral blood biomarkers.
The trough plasma concentrations of SAR156597
The potential immunogenicity of SAR156597."
"53",53,"BriefSummary","Primary Objective:

- To assess the safety of SAR341402 and NovoLog® when used in external insulin pumps in terms of the number of patients with infusion set occlusions.

Secondary Objectives:

To assess the safety of SAR341402 and NovoLog® when used in external pumps in terms of unexplained hyperglycemia.
To assess the safety of SAR341402 and NovoLog® when used in external pumps in terms of:
Intervals for infusion set changes.
Number of patients with insulin pump for ""non-delivery"" alarm.
Patient observation of infusion set occlusion.
Adverse events and serious adverse events.
Number of patients with hypoglycemic events [according to ADA (American Diabetes Association) Workgroup on hypoglycemia]."
"54",54,"BriefSummary","Primary Objective:

To determine whether SAR439859 per os improves progression free survival (PFS) when compared with a endocrine monotherapy of the choice of the physician, in participants with metastatic or locally advanced breast cancer.

Secondary Objective:

To compare the overall survival in the 2 treatment arms
To assess the objective response rate in the 2 treatment arms.
To evaluate the disease control rate in the 2 treatment arms.
To evaluate the clinical benefit rate in the 2 treatment arms.
To evaluate the duration of response in the 2 treatment arms.
To evaluate the PFS according to the estrogen receptor 1 gene (ESR1) mutation status in the 2 treatment arms.
To evaluate the pharmacokinetics of SAR439859 as single agent.
To evaluate health related quality of life in the 2 treatment arms.
To compare the overall safety profile in the 2 treatment arms."
"55",55,"BriefSummary","Primary Objective:

To determine objective response rate (ORR).

Secondary Objectives:

To assess duration of response (DR), progression free survival (PFS) and overall survival (OS).

To evaluate global safety profile. To determine pharmacokinetic profile. To assess clinical utility of fluorescence in situ hybridization (FISH) assay in selection of patients with mesenchymal-epithelial hybridization (MET) gene amplification.

To assess lung cancer symptoms, health-related quality of life and treatment satisfaction."
